X,Y,Z
-5280,-2530,19089
-5323,-2550,19136
-5300,-2490,19088
-5331,-2503,19089
-5310,-2444,19052
-5336,-2455,19032
-5336,-2406,19078
-5377,-2423,19107
-5348,-2362,19050
-5382,-2375,19050
-5381,-2326,19097
-5412,-2339,19097
-5399,-2285,19096
-5418,-2292,19049
-5417,-2243,19096
-5453,-2257,19105
-5437,-2202,19106
-5459,-2210,19058
-5444,-2156,19058
-5477,-2168,19068
-5471,-2118,19095
-5488,-2123,19039
-5483,-2074,19076
-5512,-2084,19068
-5501,-2032,19086
-5525,-2040,19048
-5511,-1988,19057
-5549,-2000,19075
-5523,-1944,19038
-5571,-1959,19104
-5548,-1904,19075
-5580,-1914,19076
-5552,-1857,19037
-5587,-1868,19047
-5577,-1818,19075
-5603,-1825,19047
-5586,-1773,19056
-5641,-1789,19131
-5614,-1734,19103
-5633,-1739,19046
-5630,-1692,19102
-5661,-1699,19092
-5638,-1646,19083
-5667,-1654,19074
-5651,-1603,19083
-5682,-1611,19073
-5666,-1560,19092
-5693,-1566,19073
-5668,-1514,19054
-5698,-1521,19045
-5682,-1471,19064
-5714,-1478,19054
-5690,-1426,19044
-5718,-1431,19025
-5712,-1384,19082
-5744,-1391,19082
-5726,-1341,19091
-5751,-1346,19063
-5723,-1293,19044
-5765,-1301,19072
-5744,-1251,19082
-5776,-1257,19072
-5748,-1206,19063
-5782,-1211,19062
-5759,-1162,19062
-5792,-1167,19062
-5776,-1119,19090
-5793,-1121,19034
-5779,-1073,19071
-5809,-1078,19052
-5796,-1030,19099
-5827,-1034,19090
-5784,-982,19024
-5827,-988,19061
-5808,-940,19080
-5841,-944,19080
-5810,-895,19061
-5843,-898,19061
-5820,-850,19070
-5854,-854,19071
-5837,-806,19108
-5886,-812,19154
-5843,-761,19107
-5863,-763,19051
-5839,-715,19070
-5888,-720,19117
-5838,-669,19041
-5892,-674,19117
-5860,-626,19097
-5885,-627,19069
-5854,-580,19060
-5867,-580,18995
-5866,-535,19087
-5895,-537,19069
-5856,-489,19041
-5897,-491,19060
-5865,-444,19059
-5908,-446,19078
-5873,-399,19069
-5909,-400,19078
-5871,-354,19049
-5905,-354,19050
-5881,-309,19078
-5922,-310,19097
-5884,-264,19078
-5917,-264,19067
-5885,-218,19067
-5923,-218,19087
-5886,-173,19069
-5920,-172,19068
-5883,-127,19049
-5918,-127,19049
-5885,-82,19058
-5929,-81,19087
-5888,-37,19058
-5920,-36,19048
-5882,9,19040
-5932,10,19096
-5885,53,19049
-5923,55,19068
-5879,99,19030
-5909,101,19021
-5889,145,19067
-5927,147,19076
-5888,190,19067
-5926,193,19076
-5879,235,19039
-5922,239,19067
-5882,281,19058
-5912,284,19038
-5887,326,19076
-5905,329,19030
-5870,371,19029
-5917,375,19076
-5873,416,19048
-5903,420,19039
-5880,463,19086
-5928,468,19133
-5870,507,19067
-5909,512,19075
-5879,554,19104
-5899,557,19057
-5865,598,19076
-5899,603,19076
-5856,643,19057
-5878,647,19019
-5862,689,19094
-5885,693,19057
-5839,732,19038
-5885,739,19075
-5833,776,19029
-5878,784,19066
-5831,822,19047
-5863,828,19037
-5827,867,19057
-5858,874,19047
-5829,914,19085
-5855,920,19056
-5802,955,19019
-5843,964,19048
-5807,1002,19057
-5844,1010,19066
-5802,1047,19065
-5834,1055,19066
-5783,1090,19028
-5823,1099,19056
-5776,1135,19038
-5820,1145,19076
-5772,1180,19057
-5809,1189,19065
-5763,1225,19057
-5802,1235,19075
-5742,1266,19019
-5785,1278,19047
-5747,1314,19065
-5770,1321,19028
-5723,1355,19018
-5768,1367,19056
-5723,1402,19056
-5750,1410,19038
-5723,1448,19094
-5742,1455,19047
-5693,1487,19029
-5736,1501,19066
-5687,1532,19047
-5728,1545,19075
-5672,1575,19037
-5703,1586,19028
-5662,1619,19047
-5689,1629,19029
-5665,1668,19103
-5687,1676,19066
-5643,1709,19076
-5668,1718,19047
